supplier_type,supplier_group,supplier_name,gstin,address,pincode,state
Regular,Services,A-1 CORPORATION,29AACFA4347A1ZW,BANGALURU-97311-66902/98805-89000,560053,Karnataka
Regular,Services,AGASTHYA TRADE LINKS,29AXVPR4039E1ZV,9535629101,577205,Karnataka
Regular,Services,ALIED ENTERPRISES,29AACFA1973E1ZM,BANGALORE,560010,Karnataka
Regular,Services,AMBE STATIONARY,29NNHPS5029E1ZF,"KUKKESRI ARCADE,SAVARKAR NAGAR SHIVAMOGGA",577202,Karnataka
Regular,Services,ANAND INKS,29ABDFA3349J1ZA,BANGALORE,560058,Karnataka
Consumer,Services,AVINASH,,SHIVAMOGGA,577202,Karnataka
Consumer,Services,BIRURU MASTAMBIKA PRINTERS,,BIRURU-83102-16146,,Karnataka
Regular,Services,BRINDAVAN PRINT SOLUTIONS PVT LTD,29AADCB9014D1ZW,080-231541110,,Karnataka
Regular,Services,CKM KUSHI PRINTS AND PACKS,29FVKPS7828P1Z0,CHIKKAMANGALORE,,Karnataka
Regular,Services,COPY RITER QUICK PRINT SERVICES,29ABKPA6678H1Z9,BANGALORE,560021,Karnataka
Regular,Services,ESVEE TRADING COMPANY,,BANGALORE,,Karnataka
Regular,Services,Ganesh Impex,29ARQPG5502J1ZI,BANGALURU,560002,Karnataka
Regular,Services,GOUTAM GRAPHICS,29ABEPC6556G1ZM,93425-98060,,Karnataka
Regular,Services,GOUTAM GRAPHICS & INKS,29AGRPK9267E1ZP,BANGALORE,560053,Karnataka
Regular,Services,GRAPHIC LINES,29ABMPH3353A1ZW,BANGALORE,560042,Karnataka
Regular,Services,HBLAKSHATA ENTERPRISES,29BXRPS5134G1ZV,99805-76911,580028,Karnataka
Regular,Services,HI-TONE CHEMICAL INDUSTRIES,29AAYPD4888P1ZD,BANGALORE,560008,Karnataka
Regular,Services,UTTAR PRADES-201301,09ABIFM1231C1ZP,UTTARPRADESH-201301,201301,Uttar Pradesh
Regular,Services,INDUSTRIAL PAPER WORLD,29DCYPS9605C1ZT,BANGALORE,560023,Karnataka
Regular,Services,Javali Distributors,29AMLPJ8253F1ZP,94481-54241,577201,Karnataka
Regular,Services,JUST FILL SOLUTIONS,29AAGFJ7319H1Z3,BANGALURU--41140147,,Karnataka
Regular,Services,KROPEX INDIA PVT LTD,29AABCK7543E1ZH,BANGALORE,560068,Karnataka
Regular,Services,LABDEE INTERNATIONAL-FY-24-25,29AEKPV2960E1Z3,BANGALURU-98864-14790,29,Karnataka
Regular,Services,LAKSHMI COLOUR COMPANY,29ABCPO1275G1ZM,BANGALURU-10,BANGALURU-10,Karnataka
Regular,Services,Lakshmi Fabric Inc,29BCLPS3001H1ZK,BANGALORE,,Karnataka
Regular,Services,LESS DISCOUNT10%,,,,Karnataka
Regular,Services,MAGNUM VENTURES23-24,29AAFPN5909G1ZH,87622-70598,,Karnataka
Regular,Services,MAHALAXMI PAPER AGENYC(2023-24),29ADFPR1173H1ZD,98446-27108,560019,Karnataka
Regular,Services,MANDARA ENTERPRISES,29AKRPR1227P1ZA,SHIVAMOGGA,,Karnataka
Consumer,Services,MANOJ M,,98862-29745,,Karnataka
Regular,Services,#195COTTONPET MAINROAD BANGALORE-53,29EPGPS8766J1ZS,,,Karnataka
Regular,Services,OM COMPUTERS,29BBMPS7130M1ZW,9980625552-9886949770,577201,Karnataka
Regular,Services,PIC PRINT SOLUTIONS,29BGYPB2257F1Z4,BANGALURU-9945773991,560027,Karnataka
Regular,Services,POOJA ENTERPRISES,29AHTPC3847K1ZQ,BANGALORE,560003,Karnataka
,Services,Prakash Tours & Travels,,,,
Regular,Services,PRATHIKSHA PACKAGING INDUSTRIES,29ALGPR7531Q1Z6,9480668777,576117,Karnataka
Regular,Services,RAJENDRA PROCESS,29AAFFR8590M1ZA,BANGALURU,560053,Karnataka
Regular,Services,RAJ SALES & MARKETING,29ACZPK8386Q1ZY,MYSORE,,Karnataka
Regular,Services,RnR Coates (India),29AHSPR4782M1Z4,BANGALORE,560048,Karnataka
Regular,Services,ROHINI DECOR ELECTRICAL&LIGHTING,29AIXPB4906B1Z9,98453-53911,577201,Karnataka
Regular,Services,SAMARTHA ENTERPRISES,29AWJPS3167K1ZS,BANGALURU-97388-95111,560010,Karnataka
Regular,Services,HUBBALLI,29ABLPA9356K1Z4,,580020,Karnataka
Regular,Services,SHIVAMOGGA,29ACBFS7929K1ZG,,,Karnataka
,Services,Shree Mahalasa Parcel  & Courier Service,,,,
Regular,Services,SHREE SK INDUSTRIES,29AADFS9230P1Z1,93414-20937,,Karnataka
Regular,Services,SKYLITE TECHNOLOGIES,29ACWPI5514K2ZY,SAVALANGA ROAD-SHIVAMOGGA,577202,Karnataka
Consumer,Services,SMG BHUMISHRI PRINTERS,,"NITYA,DURGIGUDI-9620343092",,Karnataka
Regular,Services,SMG CHANCHAL ENTERPRISES,29AFGPP7826J1ZT,SHIVAMOGGA-95909-45146,577202,Karnataka
Regular,Services,SMG MURTHY ARTS,,SHIVAMOGGA,,Karnataka
Consumer,Services,SMG NUTANA PRINERS,,DURGIGUDI KENCHAPPA COMPLEX SHIVAMOGGA,,Karnataka
Regular,Services,SMG POPULAR PRINTERS,,SHIVAMOGGA,,Karnataka
Regular,Services,SMG RADIANT TECHNOLOGIES,29AJNPM5744M1ZD,SHIVAMOGGA,577201,Karnataka
Regular,Services,SMG SHASTHA SALES,29AVUPT4608A1Z7,SHIVAMOGGA,577204,Karnataka
Regular,Services,SMGSHREE SOMESHWARA TRADERS,29BUSPS5085A1Z2,SHIMOGA,577201,Karnataka
Regular,Services,SMG VASAVI PRINTERS,,SHIVAMOGGA,,Karnataka
Regular,Services,SOBAGU PRINTING STATIONERIES,29AEFPS2785D1Z6,BANGALORE,560053,Karnataka
Regular,Services,SPECIALITY PAPER&BOARDS PVT LTD,29AAICS8875J1ZE,YASHAVANTHPURA-BANGALURU-23570993/23570073,560022,Karnataka
,Services,Sri Gowri Transport,,,,
Regular,Services,SRI GURU ENTERPRISES,29ANFPG8322F1Z2,SHIVAMOGGA,,Karnataka
Regular,Services,SRI KALIKAMBA ENTERPRISES,29EFSPK3748N1ZD,MOBILE-7676041507,,Karnataka
Regular,Services,SRI LAKSHIMI FABRIC INC,29BCLPS3001H1ZK,BANGALORE,,Karnataka
Regular,Services,SRI SANGAMESH GRAPHICS,29ADWFS6617C1ZJ,HUBLI,580029,Karnataka
